Year of Report,Year of Depletion,Years until Depletion
1985,2049,64
1986,2051,65
1987,2051,64
1988,2048,60
1989,2046,57
1990,2043,53
1991,2041,50
1992,2036,44
1993,2036,43
1994,2029,35
1995,2030,35
1996,2029,33
1997,2029,32
1998,2032,34
1999,2034,35
2000,2037,37
2001,2038,37
2002,2041,39
2003,2042,39
2004,2042,38
2005,2041,36
2006,2040,34
2007,2041,34
2008,2041,33
2009,2037,28
2010,2037,27
2011,2036,25
2012,2033,21
2013,2033,20
2014,2033,19
2015,2034,19
2016,2034,18
2017,2034,17
2018,2034,16
2019,2035,16
2020,2035,15
2021,2034,13
2022,2035,13
2023,2034,11
2024,2035,11
